motor,,
----------------,,
Line No,Motor A,Motor B
1484,-1,1
1485,-1,1
1486,-1,1
1487,-1,1
1488,-1,1
1489,-1,1
1490,-1,1
1491,-1,1
1492,-1,1
1493,-1,1
1494,-1,1
1495,-1,1
1496,-1,1
1497,-1,1
1498,-1,1
1499,-1,1
1500,-1,1
1501,nan,nan
1502,-1,1
1503,-1,1
1504,-1,1
1505,-1,1
1506,-1,1
1507,-1,1
1508,-1,1
1509,-1,1
1510,-1,1
1511,-1,1
1512,-1,1
1513,-1,1
1514,-1,1
1515,-1,1
1516,-1,1
1517,-1,1
1518,-1,1
1519,-1,1
1520,-1,1
1521,-1,1
1522,-1,1
1523,-1,1
1524,-1,1
1525,-1,1
1526,-1,1
1527,-1,1
1528,-1,1
1529,-1,1
1530,-1,1
1531,-1,1
1532,-1,1
1533,-1,1
1534,-1,1
1535,-1,1
1536,-1,1
1537,-1,1
1538,-1,1
1539,-1,1
1540,-1,1
1541,-1,1
1542,-1,1
1543,-1,1
1544,-1,1
1545,-1,1
1546,-1,1
1547,-1,1
1548,-1,1
1549,-1,1
1550,-1,1
1551,-1,1
1552,-1,1
1553,-1,1
1554,-1,1
1555,-1,1
1556,-1,1
1557,-1,1
1558,-1,1
1559,-1,1
1560,-1,1
1561,-1,1
1562,-1,1
1563,-1,1
1564,-1,1
1565,-1,1
1566,-1,1
1567,-1,1
1568,-1,1
1569,-1,1
1570,-1,1
1571,-1,1
1572,-1,1
1573,-1,1
1574,-1,1
1575,-1,1
1576,-1,1
1577,-1,1
1578,-1,1
1579,-1,1
1580,-1,1
1581,-1,1
1582,-1,1
1583,-1,1
1584,-1,1
1585,-1,1
1586,-1,1
1587,-1,1
1588,-1,1
1589,-1,1
1590,-1,1
1591,-1,1
1592,-1,1
1593,-1,1
1594,-1,1
1595,-1,1
1596,-1,1
1597,-1,1
1598,-1,1
1599,-1,1
1600,-1,1
1601,-1,1
1602,-1,1
1603,-1,1
1604,-1,1
1605,-1,1
1606,-1,1
1607,-1,1
1608,-1,1
1609,-1,1
1610,-1,1
1611,-1,1
1612,-1,1
1613,-1,1
1614,-1,1
1615,-1,1
1616,-1,1
1617,-1,1
1618,-1,1
1619,-1,1
1620,-1,1
1621,-1,1
1622,-1,1
1623,-1,1
1624,-1,1
1625,-1,1
1626,-1,1
1627,-1,1
1628,-1,1
1629,-1,1
1630,-1,1
1631,-1,1
1632,-1,1
1633,-1,1
1634,-1,1
1635,-1,1
1636,-1,1
1637,-1,1
1638,-1,1
1639,-1,1
1640,-1,1
1641,-1,1
1642,-1,1
1643,-1,1
1644,-1,1
1645,-1,1
1646,-1,1
1647,-1,1
1648,-1,1
1649,-1,1
1650,-1,1
1651,-1,1
1652,-1,1
1653,-1,1
1654,-1,1
1655,-1,1
1656,-1,1
1657,-1,1
1658,-1,1
1659,-1,1
1660,-1,1
1661,-1,1
1662,-1,1
1663,-1,1
1664,-1,1
1665,-1,1
1666,-1,1
1667,-1,1
1668,-0.996024,0.996024
1669,-0.983982,0.983982
1670,-0.972025,0.972025
1671,-0.959981,0.959981
1672,-0.947981,0.947981
1673,-0.936025,0.936025
1674,-0.923981,0.923981
1675,-0.912025,0.912025
1676,-0.899981,0.899981
1677,-0.888026,0.888026
1678,-0.87598,0.87598
1679,-0.863981,0.863981
1680,-0.852026,0.852026
1681,-0.839981,0.839981
1682,-0.828027,0.828027
1683,-0.81598,0.81598
1684,-0.804027,0.804027
1685,-0.79198,0.79198
1686,-0.77998,0.77998
1687,-0.768027,0.768027
1688,-0.75598,0.75598
1689,-0.744028,0.744028
1690,-0.731979,0.731979
1691,-0.720028,0.720028
1692,-0.707979,0.707979
1693,-0.695979,0.695979
1694,-0.684028,0.684028
1695,-0.671978,0.671978
1696,-0.660028,0.660028
1697,-0.647979,0.647979
1698,-0.636029,0.636029
1699,-0.623978,0.623978
1700,-0.611979,0.611979
1701,-0.600029,0.600029
1702,-0.587978,0.587978
1703,-0.576029,0.576029
1704,-0.563977,0.563977
1705,-0.55203,0.55203
1706,-0.539977,0.539977
1707,-0.527978,0.527978
1708,-0.516031,0.516031
1709,-0.503978,0.503978
1710,-0.492031,0.492031
1711,-0.479977,0.479977
1712,-0.468031,0.468031
1713,-0.455977,0.455977
1714,-0.443977,0.443977
1715,-0.432032,0.432032
1716,-0.419977,0.419977
1717,-0.408031,0.408031
1718,-0.395976,0.395976
1719,-0.384032,0.384032
1720,-0.371976,0.371976
1721,-0.359976,0.359976
1722,-0.348032,0.348032
1723,-0.335975,0.335975
1724,-0.324032,0.324032
1725,-0.311976,0.311976
1726,-0.300033,0.300033
1727,-0.287975,0.287975
1728,-0.275975,0.275975
1729,-0.264034,0.264034
1730,-0.251975,0.251975
1731,-0.240033,0.240033
1732,-0.227974,0.227974
1733,-0.216033,0.216033
1734,-0.203974,0.203974
1735,-0.191975,0.191975
1736,-0.180035,0.180035
1737,-0.167974,0.167974
1738,-0.156035,0.156035
1739,-0.143974,0.143974
1740,-0.132035,0.132035
1741,-0.119973,0.119973
1742,-0.107973,0.107973
1743,-0.0960348,0.0960348
1744,-0.0839736,0.0839736
1745,-0.0720356,0.0720356
1746,-0.0599735,0.0599735
1747,-0.0480363,0.0480363
1748,-0.0359726,0.0359726
1749,-0.0240366,0.0240366
1750,-0.011909,0.011909
1751,-3.6478e-05,3.6478e-05
1752,0.0119638,-0.0119638
1753,0.023963,-0.023963
1754,0.0360923,-0.0360923
1755,0.0479624,-0.0479624
1756,0.0599623,-0.0599623
1757,0.0720935,-0.0720935
1758,0.0839629,-0.0839629
1759,0.0959625,-0.0959625
1760,0.107962,-0.107962
1761,0.120096,-0.120096
1762,0.131962,-0.131962
1763,0.143961,-0.143961
1764,0.156096,-0.156096
1765,0.167961,-0.167961
1766,0.179961,-0.179961
1767,0.191961,-0.191961
1768,0.204098,-0.204098
1769,0.215961,-0.215961
1770,0.227961,-0.227961
1771,0.240099,-0.240099
1772,0.25196,-0.25196
1773,0.263961,-0.263961
1774,0.27596,-0.27596
1775,0.2881,-0.2881
1776,0.29996,-0.29996
1777,0.311959,-0.311959
1778,0.324101,-0.324101
1779,0.335959,-0.335959
1780,0.347959,-0.347959
1781,0.359959,-0.359959
1782,0.372103,-0.372103
1783,0.383959,-0.383959
1784,0.395959,-0.395959
1785,0.408104,-0.408104
1786,0.419959,-0.419959
1787,0.431958,-0.431958
1788,0.443958,-0.443958
1789,0.456105,-0.456105
1790,0.467957,-0.467957
1791,0.479957,-0.479957
1792,0.492106,-0.492106
1793,0.503957,-0.503957
1794,0.515957,-0.515957
1795,0.527957,-0.527957
1796,0.540108,-0.540108
1797,0.551957,-0.551957
1798,0.563957,-0.563957
1799,0.57611,-0.57611
1800,0.587956,-0.587956
1801,0.599956,-0.599956
1802,0.611956,-0.611956
1803,0.62411,-0.62411
1804,0.635956,-0.635956
1805,0.647955,-0.647955
1806,0.660112,-0.660112
1807,0.671955,-0.671955
1808,0.683956,-0.683956
1809,0.695955,-0.695955
1810,0.708113,-0.708113
1811,0.719954,-0.719954
1812,0.731955,-0.731955
1813,0.744114,-0.744114
1814,0.755954,-0.755954
1815,0.767954,-0.767954
1816,0.779954,-0.779954
1817,0.792115,-0.792115
1818,0.803953,-0.803953
1819,0.815953,-0.815953
1820,0.828116,-0.828116
1821,0.839953,-0.839953
1822,0.851953,-0.851953
1823,0.863953,-0.863953
1824,0.876118,-0.876118
1825,0.887953,-0.887953
1826,0.899953,-0.899953
1827,0.912119,-0.912119
1828,0.923952,-0.923952
1829,0.935952,-0.935952
1830,0.947952,-0.947952
1831,0.960121,-0.960121
1832,0.971952,-0.971952
1833,0.983952,-0.983952
1834,0.996122,-0.996122
1835,1,-1
1836,1,-1
1837,1,-1
1838,1,-1
1839,1,-1
1840,1,-1
1841,1,-1
1842,1,-1
1843,1,-1
1844,1,-1
1845,1,-1
1846,1,-1
1847,1,-1
1848,1,-1
1849,1,-1
1850,1,-1
1851,1,-1
1852,1,-1
1853,1,-1
1854,1,-1
1855,1,-1
1856,1,-1
1857,1,-1
1858,1,-1
1859,1,-1
1860,1,-1
1861,1,-1
1862,1,-1
1863,1,-1
1864,1,-1
1865,1,-1
1866,1,-1
1867,1,-1
1868,1,-1
1869,1,-1
1870,1,-1
1871,1,-1
1872,1,-1
1873,1,-1
1874,1,-1
1875,1,-1
1876,1,-1
1877,1,-1
1878,1,-1
1879,1,-1
1880,1,-1
1881,1,-1
1882,1,-1
1883,1,-1
1884,1,-1
1885,1,-1
1886,1,-1
1887,1,-1
1888,1,-1
1889,1,-1
1890,1,-1
1891,1,-1
1892,1,-1
1893,1,-1
1894,1,-1
1895,1,-1
1896,1,-1
1897,1,-1
1898,1,-1
1899,1,-1
1900,1,-1
1901,1,-1
1902,1,-1
1903,1,-1
1904,1,-1
1905,1,-1
1906,1,-1
1907,1,-1
1908,1,-1
1909,1,-1
1910,1,-1
1911,1,-1
1912,1,-1
1913,1,-1
1914,1,-1
1915,1,-1
1916,1,-1
1917,1,-1
1918,1,-1
1919,1,-1
1920,1,-1
1921,1,-1
1922,1,-1
1923,1,-1
1924,1,-1
1925,1,-1
1926,1,-1
1927,1,-1
1928,1,-1
1929,1,-1
1930,1,-1
1931,1,-1
1932,1,-1
1933,1,-1
1934,1,-1
1935,1,-1
1936,1,-1
1937,1,-1
1938,1,-1
1939,1,-1
1940,1,-1
1941,1,-1
1942,1,-1
1943,1,-1
1944,1,-1
1945,1,-1
1946,1,-1
1947,1,-1
1948,1,-1
1949,1,-1
1950,1,-1
1951,1,-1
1952,1,-1
1953,1,-1
1954,1,-1
1955,1,-1
1956,1,-1
1957,1,-1
1958,1,-1
1959,1,-1
1960,1,-1
1961,1,-1
1962,1,-1
1963,1,-1
1964,1,-1
1965,1,-1
1966,1,-1
1967,1,-1
1968,1,-1
1969,1,-1
1970,1,-1
1971,1,-1
1972,1,-1
1973,1,-1
1974,1,-1
1975,1,-1
1976,1,-1
1977,1,-1
1978,1,-1
1979,1,-1
1980,1,-1
1981,1,-1
1982,1,-1
1983,1,-1
1984,1,-1
1985,1,-1
1986,1,-1
1987,1,-1
1988,1,-1
1989,1,-1
1990,1,-1
1991,1,-1
1992,1,-1
1993,1,-1
1994,1,-1
1995,1,-1
1996,1,-1
1997,1,-1
1998,1,-1
1999,1,-1
2000,1,-1
